contextId	pageId	pageRev	tableIndex	title	headers	caption	tagAbove	textAbove	tagBelow	textBelow
csv/200-csv/15.csv	23916	598113351	1	Paul Reubens	Filmography|Television		h3	Television	h3	Video games
csv/200-csv/17.csv	165909	596212168	1	Gladys Knight	Solo discography|Singles		h3	Singles	dl	Notes
csv/200-csv/18.csv	135072	599337766	1	Yankton, South Dakota	Media|Radio|FM Radio		h4	FM Radio	p	Several low-power non-commercial FM stations are licensed to Yankton.
csv/200-csv/20.csv	288210	602446896	0	Gary Ridgway	Victims|Confirmed		p	At the time of his December 18, 2003 sentencing, authorities had been able to find at least 48 sets of remains, including victims not originally attributed to the Green River Killer. Ridgway was sentenced for the deaths of each of these 48 victims, with a plea agreement that he would "plead guilty to any and all future cases (in King County) where his confession could be corroborated by reliable evidence."[21]	ul	Before Ridgway's confession, authorities had not attributed to the Green River Killer the deaths of victims Rule, Barczak, Hayes, Reeves, Yellowrobe and 'victim 49'.[20]\nRidgway's confession and directions led police search crews to find the bodies of Avent, Buttram, and Malvar in August and September 2003.\nOn Tuesday, December 21, 2010, hikers near the West Valley Highway in Auburn, WA found a skull in the vicinity of where Marie Malvar's remains were found in 2003. The skull was identified as belonging to Rebecca "Becky" Marrero, who was last seen leaving the Western Six Motel at South 168th Street and Pacific Highway South on December 3, 1982. The King County Prosecutor confirmed that Ridgway would be formally charged with her murder on February 11, 2011.[21] On February 18, 2011, he entered a guilty plea in the murder of Rebecca Marrero, adding a 49th life sentence to his existing 48. Ridgway confessed to murdering Marrero in his original plea bargain, but due to insufficient evidence, the charges could not be filed. Therefore, there is no change in his current incarceration status.[22]\nThe remains of Tracy Winston were found, without a skull, in Kent's Cottonwood Grove Park in March 1986. Winston's skull was found in November 2005 near Tiger Mountain, miles away from the discovery site of the rest of her body. Police assume someone carried it to the location.[23]\nSandra Denise Major was not identified until June 2012. A family member asked the King County Sheriff to investigate after seeing a TV movie about Ridgway. DNA confirmed Major's identity.[24][25]
csv/200-csv/22.csv	57187	602161452	3	Mick Jagger	Discography|Singles		h3	Singles	h2	Filmography
csv/200-csv/24.csv	196277	598199505	0	Kodachrome	Product timeline		h2	Product timeline	p	[14]
csv/200-csv/25.csv	167583	601634115	0	BBC Radio	Expenditure		div		h2	Directors
csv/200-csv/26.csv	167959	597437603	0	List of airports in France	Airports in Metropolitan France		p	Links shown after airport name are intended to be moved as each airport's Wikipedia article is created: WEB indicates a link to the airport's website, UAF indicates a link to airport's page at L'Union des Aéroports Français.	h2	Airports in French territories
csv/200-csv/28.csv	256925	602501704	1	Stamford, Connecticut	Politics		p	Stamford is mostly Democratic, home to about 21,500 active registered Democrats and 14,000 Republicans in October 2005. The partisan ratio was 1.5 Democrats per Republican. 100 individuals were registered with minor parties, while roughly 20,000 did not have any party affiliation.[12] The Mayor of Stamford is David Martin.[13] Martin, a Democrat, was elected to a four year term in 2013, replacing Michael Pavia, a Republican who did not seek re-election to a second term. Prior to Pavia the City was served by Dannel Malloy, the four term Mayor who became Governor of Connecticut in 2011.	h2	Transportation
csv/200-csv/29.csv	317514	595164344	0	Erik Nevland	Career statistics		h2	Career statistics	h2	References
csv/200-csv/30.csv	78598	598605906	0	Wilco	Awards and nominations|Grammy Awards		h3	Grammy Awards	h3	Shortlist Music Prizes
csv/200-csv/31.csv	164370	600791013	0	Roy Scheider	Amateur boxing	Amateur boxing record: Roy Scheider	p	Between 1947 and 1953 – and, in one match in 1958 – Scheider boxed as an amateur based in his hometown in New Jersey.[7] In his first bout, at the 1947 Golden Gloves, he suffered a broken nose and lost by technical knockout in two rounds to Myron Greenberg. He went on, however, to post a 14-1 (10 knockouts) record, reversing the defeat to Greenberg in the process.[7]	h2	Film career
csv/200-csv/32.csv	239750	583736136	0	Muncie Flyers	Season-by-season		h2	Season-by-season	h2	Notes
csv/200-csv/33.csv	179765	600196784	0	Nara Prefecture	Demographics		h2	Demographics	p	According to the 2005 Census of Japan, Nara Prefecture has a population of 1,421,310, which is a decrease of 1.5%, since the year 2000.[9]
csv/200-csv/34.csv	143678	600752912	1	Silent Witness	Characters|Former		h3	Former	h3	Overview of main characters
csv/200-csv/35.csv	108849	600876963	0	Mansfield, Connecticut	Demographics		p	The median income for a household in the town was $48,888, and the median income for a family was $69,661. Males had a median income of $42,154 versus $32,292 for females. The per capita income for the town was $18,094. About 4.7% of families and 14.2% of the population were below the poverty line, including 6.7% of those under age 18 and 5.5% of those age 65 or over.	h2	Named places within Mansfield
csv/200-csv/36.csv	45379	601797109	1	Catherine Deneuve	Awards and nominations|César Awards		h3	César Awards	h3	Academy Awards
csv/200-csv/37.csv	72230	601771772	1	Max Aitken, Lord Beaverbrook	External links		ul	Lord Beaverbrook, a Week at the Office\nNational Film Board of Canada biography\nWorks by Max Aitken, Baron Beaverbrook at Project Gutenberg\nOntario Plaques – Lord Beaverbrook\nHis role as minister of Information during WW1\nArchival material relating to Max Aitken, Lord Beaverbrook listed at the UK National Archives\nThe Beaverbrook Papers at the UK Parliamentary Archives\nLundy, Darryl. "Lord Beaverbrook genealogy". The Peerage. Retrieved 2 June 2009. [unreliable source].\nHansard 1803–2005: contributions in Parliament by Max Aitken\nTransAlta Corporation (formerly Calgary Power)\n "Beaverbrook, William Maxwell Aitken, 1st Baron". Encyclopædia Britannica (12th ed.). 1922.	table	v\nt\ne\nWar Cabinet of Winston Churchill\nPrime Minister\nMinister of Defence\nWinston Churchill (1940–1945)\nDeputy Prime Minister\nClement Attlee (1942–1945)\nLord President of the Council\nNeville Chamberlain (1940)\nSir John Anderson (1940–1943)\nClement Attlee (1943–1945)\nLord Privy Seal\nClement Attlee (1940–1942)\nSir Stafford Cripps (1942)\nChancellor of the Exchequer\nSir Kingsley Wood (1940–1942)\nSir John Anderson (1943–1945)\nForeign Secretary\nViscount Halifax (1940)\nAnthony Eden (1940–1945)\nHome Secretary\nHerbert Morrison (1940–1945)\nMinister of Aircraft Production\nLord Beaverbrook (1940–1941)\nSecretary of State for Dominion Affairs\nClement Attlee (1942–1943)\nMinister of Labour and National Service\nErnest Bevin (1940–1945)\nMinister Resident Middle East\nOliver Lyttelton (1942)\nRichard Casey (1942–1944)\nLord Moyne (1944)\nMinister without Portfolio\nArthur Greenwood (1940–1942)\nMinister of Reconstruction\nLord Woolton (1943–1945)\nMinister of State\nLord Beaverbrook (1941)\nMinister of Supply\nLord Beaverbrook (1941–1942)\nMinister of Production\nLord Beaverbrook (1942)\nOliver Lyttelton (1942–1945)
csv/200-csv/38.csv	58227	601255791	0	Arcadia	Administration|Prefecture		p	As a part of the 2011 Kallikratis government reform, the regional unit Arcadia was created out of the former prefecture Arcadia (Greek: Νομός Αρκαδίας). The prefecture had the same territory as the present regional unit. At the same time, the municipalities were reorganised, according to the table below.[3]	h3	Provinces
csv/200-csv/41.csv	51761	591181650	0	Elias gamma coding	Encoding		p	The code begins (the implied probability distribution for the code is added for clarity):	h2	Decoding
csv/200-csv/42.csv	55606	602467553	1	Haifa	Climate		p	Haifa has a hot-summer Mediterranean climate with hot, dry summers and cool, rainy winters (Köppen climate classification Csa).[77] Spring arrives in March when temperatures begin to increase. By late May, the temperature has warmed up considerably to herald warm summer days. The average temperature in summer is 26 °C (79 °F) and in winter, 12 °C (54 °F). Snow is rare in Haifa, but temperatures around 3 °C (37 °F) can sometimes occur, usually in the early morning. Humidity tends to be high all year round, and rain usually occurs between September and May. Annual precipitation is approximately 629 millimeters (25 in).	h2	Neighborhoods
csv/200-csv/44.csv	244318	601195155	1	Italian Air Force	Chiefs of the Air force, rank structure		table	Ufficiali generali – General officers\ngenerale\nGeneral\ngenerale di squadra aerea\ngenerale di divisione aerea\ngenerale di brigata aerea\nLieutenant general\nMajor general, Divisional General\nBrigadier general\nUfficiali superiori – Senior officers\ncolonnello\ntenente colonnello\nmaggiore\nColonel\nLieutenant colonel\nMajor\nUfficiali inferiori – Junior officers\ncapitano\ntenente\nsottotenente\nCaptain\nFirst Lieutenant, Lieutenant\nSecond Lieutenant\nSottufficiali – Non-commissioned officers\nprimo maresciallo luogotenente\n1st Lieutenant marshall\nprimo maresciallo\nmaresciallo di prima classe\nmaresciallo di seconda classe\nmaresciallo di terza classe\n1st marshall\n1st class marshall\n2nd class marshall\n3rd class marshall\nsergente maggiore capo\nsergente maggiore\nsergente\nChief sergeant major\nSergeant Major\nStaff Sergeant\nTruppa – Enlisted personnel\nNo insignia\nprimo aviere capo\nprimo aviere scelto\naviere capo\nprimo aviere\naviere scelto\naviere\nFirst chief Airman\nFirst Senior airman\nChief Airman\nAirman First Class\nSenior Airman\nAirman Basic	h2	See also
csv/200-csv/45.csv	253082	598392078	0	Governor of New Mexico	Line of succession		p	If there is no Lieutenant Governor, or he is unable to perform the duties of Governor, the Secretary of State serves as Governor. If there is no Secretary of State, the President pro Tempore of the Senate servers as Governor. If there is no President pro Tempore of the Senate, or if he is unable to perform the duties of Governor, then the Speaker of the House serves as governor.	h2	List of Governors
csv/200-csv/46.csv	295704	596997482	0	Ilulissat	Geography and environment		p	The Ilulissat Icefjord (Greenlandic: Ilulissat Kangerlua) southeast of Ilulissat was declared a UNESCO World Heritage Site in 2004.[14]	h2	Population
csv/200-csv/47.csv	250107	602407535	0	Pitch drop experiment	University of Queensland experiment|Timeline		h3	Timeline	p	
csv/200-csv/48.csv	107293	600071611	0	Fayetteville, Arkansas	Geography|Climate		p	Precipitation is weakly seasonal, with a bimodal pattern: wet seasons in the spring and fall, and relatively drier summers and winters, but some rain in all months. The spring wet season is more pronounced than fall, with the highest rainfall in May. This differs slightly from the climate in central Arkansas, where the fall wet season is more comparable to spring.	h2	Demographics
csv/201-csv/0.csv	855166	596810014	0	A Touch of Class (band)	Discography|Singles		h3	Singles	h2	References
csv/201-csv/1.csv	484659	596752273	0	Airan	Administration		p	List of Successive Mayors of Airan[3]	p	(Not all data is known)
csv/201-csv/2.csv	175541	602500015	2	Ferris wheel	World's tallest Ferris wheels		div		h3	Future wheels
csv/201-csv/3.csv	40455	602035763	0	Monterrey	Geography|Climate	Climate data for Monterrey (1951–2010)	p	From June 30 to July 2 of 2010, Monterrey was hit by the worst natural disaster in the city's history when Hurricane Alex delivered more than 584 millimetres (23 in) of rain around 72 hours, with areas reaching up to 1 metre (39 in) of rain during that same period, destroying homes, avenues, highways and infrastructure, and leaving up to 200,000 families without water for a week or more. The amount of water that fell is equivalent to the average precipitation for a year period. This was about 3–4 times as much rain as when Hurricane Gilbert arrived to the city on September 15, 1988. The death toll of Hurricane Alex was estimated to be around 20.	h2	Cityscape
csv/201-csv/4.csv	476077	601399948	0	NAACP Image Award for Outstanding Supporting Actor in a Motion Picture	Winners and nominees		h2	Winners and nominees	h2	References
csv/201-csv/5.csv	421766	602185807	2	Kurt Nilsen	Discography|Singles		h3	Singles	h3	Other releases
csv/201-csv/6.csv	28208	600553702	0	Santa Monica, California	Geography|Climate		p	Santa Monica usually enjoys cool breezes blowing in from the ocean, which tend to keep the air fresh and clean. Therefore, smog is less of a problem for Santa Monica than elsewhere around Los Angeles. However, in the autumn months of September through November, the Santa Ana winds will sometimes blow from the east, bringing smoggy inland air to the beaches.	h3	Environment
csv/201-csv/7.csv	16689	601087419	0	Economy of Kuwait	Macro-economic trend		p	This is a chart of trend of gross domestic product of Kuwait at market prices estimated by the International Monetary Fund with figures in millions of Kuwaiti Dinars.[16]	p	For purchasing power parity comparisons, the US Dollar is exchanged at 0.288 Kuwaiti Dinars only. Mean wages were $27.83 per manhour in 2009. As for skilled and experienced Kuwaiti (Engineers, Doctors, and Managers) the average monthly salary is hiked up tremendously, to an average of $10,000+ a month excluding living and other benefits. Kuwait is a tax free country so all the above figures reflect actual take home numbers.
csv/201-csv/8.csv	6121	601917735	0	Central America	Geography|Biodiversity		p	Central America is part of the Mesoamerican Biodiversity hotspot, boasting 7% of the world's biodiversity.[9] As a bridge between North and South America, Central America has many species from the Nearctic and the Neotropic ecozones. However the southern countries (Costa Rica and Panama) of the region have more biodiversity than the northern countries (Guatemala and Belize), meanwhile the central countries (Honduras, Nicaragua and El Salvador) have least biodiversity.[9] The table shows current statistics for the seven countries:	h2	Demographics
csv/201-csv/9.csv	286156	597226173	0	Zbigniew Rybczyński	Filmography|Poland period		h3	Poland period	h3	Later works
csv/201-csv/10.csv	178116	599814803	2	Austevoll	Politics|Mayors		p	The following is a list of mayors of Austevoll:[9][10]	div	
csv/201-csv/11.csv	852483	595206817	0	Øresund Region	Statistics		h2	Statistics	p	Data as of January 1, 2004
